,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
414,江西,萍乡,0,33,0,33,0.00,100.00
415,江西,宜春,0,106,0,106,0.00,100.00
416,江西,鹰潭,0,18,0,18,0.00,100.00
417,江西,景德镇,0,6,0,6,0.00,100.00
418,江西,赣江新区,0,1,0,1,0.00,100.00
419,新疆,伊犁州,0,19,0,19,0.00,100.00
420,新疆,喀什,0,80,0,80,0.00,100.00
421,新疆,乌鲁木齐,0,845,0,845,0.00,100.00
422,新疆,地区待确认,0,1,0,1,0.00,100.00
423,新疆,昌吉州,0,5,0,5,0.00,100.00
424,新疆,兵团第九师,0,4,1,3,25.00,75.00
425,新疆,吐鲁番,0,3,0,3,0.00,100.00
426,新疆,第八师石河子,0,4,1,3,25.00,75.00
427,新疆,兵团第四师,0,10,1,9,10.00,90.00
428,新疆,六师五家渠,0,2,0,2,0.00,100.00
429,新疆,兵团第十二师,0,3,0,3,0.00,100.00
430,新疆,巴州,0,3,0,3,0.00,100.00
431,新疆,阿克苏,0,1,0,1,0.00,100.00
432,新疆,第七师,0,1,0,1,0.00,100.00
433,宁夏,地区待确认,0,0,0,0,0.00,0.00
434,宁夏,中卫,0,4,0,4,0.00,100.00
435,宁夏,银川,0,68,0,68,0.00,100.00
436,宁夏,吴忠,0,39,0,39,0.00,100.00
437,宁夏,境外输入,0,4,0,4,0.00,100.00
438,宁夏,固原,0,5,0,5,0.00,100.00
439,宁夏,石嘴山,0,1,0,1,0.00,100.00
440,宁夏,宁东管委会,0,1,0,1,0.00,100.00
441,澳门,地区待确认,0,77,0,77,0.00,100.00
442,西藏,拉萨,0,1,0,1,0.00,100.00
443,贵州,遵义,0,44,0,44,0.00,100.00
444,贵州,境外输入,0,1,0,1,0.00,100.00
445,贵州,贵阳,0,36,1,35,2.78,97.22
446,贵州,六盘水,0,10,1,9,10.00,90.00
447,贵州,毕节,0,23,0,23,0.00,100.00
448,贵州,黔南州,0,17,0,17,0.00,100.00
449,贵州,安顺,0,4,0,4,0.00,100.00
450,贵州,黔东南州,0,10,0,10,0.00,100.00
451,贵州,铜仁,0,10,0,10,0.00,100.00
452,贵州,黔西南州,0,4,0,4,0.00,100.00
453,青海,西宁,0,26,0,26,0.00,100.00
454,青海,海东,0,1,0,1,0.00,100.00
455,青海,海北州,0,3,0,3,0.00,100.00
456,安徽,境外输入,0,7,0,7,0.00,100.00
